Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:700
ea7f5091-fcbc-409d-b183-58ceb412f0a1,,ICD 10 - WHO:A00,A00 Cholera,Cholera,,Diagnosis,N/A,,,,
3dcc619e-c146-488c-a9af-3de3062e5c36,,ICD 10 - WHO:A01.0,A01.0 Typhoid fever,Typhoid fever,,Diagnosis,N/A,,,,
668ab508-43f4-4704-905d-fd1328f69ffc,,ICD 10 - WHO:A02.0,A02.0 Salmonella enteritis,Salmonella enteritis,,Diagnosis,N/A,,,,
1e4c2277-a793-446e-95ee-7decbd7eb269,,ICD 10 - WHO:A03,A03 Shigellosis,Shigellosis,,Diagnosis,N/A,,,,
ba4fe762-68f0-4b84-bce0-d14eeb826df9,,ICD 10 - WHO:A04.5,A04.5 Campylobacter enteritis,Campylobacter enteritis,,Diagnosis,N/A,,,,
a9447ee7-d3ee-4a8e-b240-75b09d50f806,,ICD 10 - WHO:A04.9,"A04.9 Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified",,Diagnosis,N/A,,,,
72fae5ce-50ce-4501-a68d-89ba31078ed0,,ICD 10 - WHO:A05.1,A05.1 Botulism,Botulism,,Diagnosis,N/A,,,,
b088ebae-25bd-4917-9cea-6d7e79c872f7,,ICD 10 - WHO:A05.9,"A05.9 Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified",,Diagnosis,N/A,,,,
50a9b94a-17fe-4b32-a9d4-2ab39f378857,,ICD 10 - WHO:A06,A06 Amebiasis,Amebiasis,,Diagnosis,N/A,,,,
ce56b781-30dd-4b00-b16c-866890b29238,,ICD 10 - WHO:A07.0,A07.0 Balantidiasis,Balantidiasis,,Diagnosis,N/A,,,,
da4931d3-5e8c-4079-bc46-6120812f631e,,ICD 10 - WHO:A07.1,A07.1 Giardiasis [lambliasis],Giardiasis [lambliasis],,Diagnosis,N/A,,,,
915e9e78-8289-43ea-9949-605cb8a985be,,ICD 10 - WHO:A08.0,A08.0 Rotaviral enteritis,Rotaviral enteritis,,Diagnosis,N/A,,,,
b733be94-6bc8-4ea4-85db-c1c5db4aa80d,,ICD 10 - WHO:A08.4,"A08.4 Viral intestinal infection, unspecified","Viral intestinal infection, unspecified",,Diagnosis,N/A,,,,
b26cf9b3-be54-408a-b03b-a83439a38d12,,ICD 10 - WHO:A16,"A16 Respiratory tuberculosis, not confirmed bacteriologically or histologically","Respiratory tuberculosis, not confirmed bacteriologically or histologically",,Diagnosis,N/A,,,,
e4fd679e-4098-43ec-8513-c8fca48d82f1,,ICD 10 - WHO:A20,A20 Plague,Plague,,Diagnosis,N/A,,,,
909bfa3d-2130-4aea-be5d-100c84500960,,ICD 10 - WHO:A21,A21 Tularemia,Tularemia,,Diagnosis,N/A,,,,
bad0d835-ca65-4415-aaa6-379727722531,,ICD 10 - WHO:A22,A22 Anthrax,Anthrax,,Diagnosis,N/A,,,,
caa09f17-6a2c-4993-a410-a7683bfef5e1,,ICD 10 - WHO:A23,A23 Brucellosis,Brucellosis,,Diagnosis,N/A,,,,
5ac3e1d8-fe31-4e62-a22a-f81ca2134891,,ICD 10 - WHO:A24.0,A24.0 Glanders,Glanders,,Diagnosis,N/A,,,,
77adf1e8-acbf-4e51-8256-d8e7cdb73969,,ICD 10 - WHO:A35,A35 Other tetanus,Other tetanus,,Diagnosis,N/A,,,,
4e3c1bae-218f-498f-9cbf-a70880351bda,,ICD 10 - WHO:A36,A36 Diphtheria,Diphtheria,,Diagnosis,N/A,,,,
