Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:700
eee1be29-baae-4d0f-a990-5e7762cb7fa3,,,Family Medicine,Family Medicine,,Misc,N/A,,,,,,,,,,,
07ab14ce-0c52-47e8-a266-68be438a6d6e,,,Internal Medicine,Internal Medicine,,Misc,N/A,,,,,,,,,,,
6f94ee1c-e0b9-49dc-b5c7-45f72b2f1e57,,,Pediatrics,Pediatrics,,Misc,N/A,,,,,,,,,,,
236fbd38-030b-478c-a1d3-d0c7937f8d72,,,Cardiology,Cardiology,,Misc,N/A,,,,,,,,,,,
66eaf276-1eb5-472a-b46c-de329b0477a8,,,Dermatology,Dermatology,,Misc,N/A,,,,,,,,,,,
34bc257b-607b-4193-a9b9-245c66907dbb,,,Gynecology,Gynecology,,Misc,N/A,,,,,,,,,,,
aeecfd1a-68d0-4e6c-84b5-4977d019d1a7,,,Dental,Dental,,Misc,N/A,,,,,,,,,,,
ab727dbe-cc5e-433a-8480-1d51c35ac820,,,Ophthalmology,Ophthalmology,,Misc,N/A,,,,,,,,,,,
51662497-2272-450f-b365-f20f699c5175,,,Wound,Wound,,Misc,N/A,,,,,,,,,,,
ba4bf0fc-8c5d-4531-ae4d-4ef99a0f30fe,,,Other,Other,,Misc,N/A,,,,,,,,,,,
f8aa7479-1794-4b47-ac2d-8ea75b115a8c,,,Primary Care Service,Primary Care Service,,Question,Coded,,Family Medicine;Internal Medicine;Pediatrics;Cardiology;Dermatology;Dental;Ophthalmology;Wound;Other,,,,,,,,,
2f267eb0-72ab-4af4-8f9f-eee38124cc8f,,,Upper extremity,Upper extremity,,Misc,N/A,,,,,,,,,,,
b7123139-cefc-4745-8b9c-0c741d3a9ae5,,,Lower extremity,Lower extremity,,Misc,N/A,,,,,,,,,,,
b28d2ec4-3601-4b2a-8cb0-82fe5fa470fa,,,Orthopedic/Peds,Orthopedic/Peds,,Misc,N/A,,,,,,,,,,,
ad55ebb9-69c6-4e91-a74a-e8b4f5959a90,,,Sports Orthopedics,Sports Orthopedics,,Misc,N/A,,,,,,,,,,,
3379f92d-2244-4899-bf32-6eb9b7307bfe,,,Foot/ankle,Foot/ankle,,Misc,N/A,,,,,,,,,,,
347ec642-4125-4cf2-a3fb-bebb28da028e,,,Podiatry,Podiatry,,Misc,N/A,,,,,,,,,,,
2977990d-778d-4fbb-a4d1-8fcf5832b21a,,,Total Hip,Total Hip,,Misc,N/A,,,,,,,,,,,
743a1a05-93ef-4d33-a6bd-9a9e7f1b40b8,,,Total Knee,Total Knee,,Misc,N/A,,,,,,,,,,,
fe3685ff-d7ef-4e53-9f99-d527abf520ef,,,Shoulder,Shoulder,,Misc,N/A,,,,,,,,,,,
1c7e7e08-900e-4b3e-805e-256cbb84ed44,,,Spine,Spine,,Misc,N/A,,,,,,,,,,,
0a219c1b-d0e3-4b1c-9c07-cbd53cd42c15,,,Surgical Oncology,Surgical Oncology,,Misc,N/A,,,,,,,,,,,
594aa587-4858-4033-ae64-f2bef18e54a8,,,General Surgery,General Surgery,,Misc,N/A,,,,,,,,,,,
4a629218-a1de-4607-a7f0-a4a04c36b26a,,,ENT,ENT,,Misc,N/A,,,,,,,,,,,
bab83196-885e-4b4c-9f65-fe6bfe5af987,,,Urology,Urology,,Misc,N/A,,,,,,,,,,,
7b8cc849-525e-4385-9dcf-9373b4d5dbdf,,,Gynecology,Gynecology,,Misc,N/A,,,,,,,,,,,
4f6d5bf0-b52a-4627-9171-68d77e5de867,,,Ophthalmology,Ophthalmology,,Misc,N/A,,,,,,,,,,,
fae38860-1934-468f-b9b2-8d6fa4e09842,,,Dental,Dental,,Misc,N/A,,,,,,,,,,,
