Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
c39ed470-3f10-11e4-adec-0800271c1b75,,,"Chest, 1 view (X-ray)","chest, 1 view (x-ray)",,Radiology,Text,,,,,,,,,,,
c3a139d6-3f10-11e4-adec-0800271c1b75,,,"Spine, 1 view (X-ray)","spine, 1 view (x-ray)",,Radiology,Text,,,,,,,,,,,
c3a3028b-3f10-11e4-adec-0800271c1b75,,,"Pelvis, 1 view (X-ray)","pelvis, 1 view (x-ray)",,Radiology,Text,,,,,,,,,,,
c3a5122b-3f10-11e4-adec-0800271c1b75,,,"Abdomen, 1 view (X-ray)","abdomen, 1 view (x-ray)",,Radiology,Text,,,,,,,,,,,
c3a6ed57-3f10-11e4-adec-0800271c1b75,,,"Knee - Left, 1 or 2 views (X-ray)","knee - left, 1 or 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3a8b75e-3f10-11e4-adec-0800271c1b75,,,"Knee - Right, 1 or 2 views (X-ray)","knee - right, 1 or 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3aa95dc-3f10-11e4-adec-0800271c1b75,,,"Chest, 2 views (X-ray)","chest, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3ac6f4f-3f10-11e4-adec-0800271c1b75,,,"Hip - Left, 2 views (X-ray)","hip - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3aec851-3f10-11e4-adec-0800271c1b75,,,"Hand - Left, 2 views (X-ray)","hand - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3b058cd-3f10-11e4-adec-0800271c1b75,,,"Hip - Right, 2 views (X-ray)","hip - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3b29625-3f10-11e4-adec-0800271c1b75,,,"Ribs - Left, 2 views (X-ray)","ribs - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3b514b9-3f10-11e4-adec-0800271c1b75,,,"Foot - Left, 2 views (X-ray)","foot - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3b6c746-3f10-11e4-adec-0800271c1b75,,,"Femur - Left, 2 views (X-ray)","femur - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3b84cca-3f10-11e4-adec-0800271c1b75,,,"Ribs - Right, 2 views (X-ray)","ribs - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3b9d054-3f10-11e4-adec-0800271c1b75,,,"Foot - Right, 2 views (X-ray)","foot - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3bcdeba-3f10-11e4-adec-0800271c1b75,,,"Elbow - Left, 2 views (X-ray)","elbow - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3beacc2-3f10-11e4-adec-0800271c1b75,,,"Hand - Right, 2 views (X-ray)","hand - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3c03f40-3f10-11e4-adec-0800271c1b75,,,"Wrist - Left, 2 views (X-ray)","wrist - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3c18d43-3f10-11e4-adec-0800271c1b75,,,"Elbow - Right, 2 views (X-ray)","elbow - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3c2d42a-3f10-11e4-adec-0800271c1b75,,,"Wrist - Right, 2 views (X-ray)","wrist - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3c46cb0-3f10-11e4-adec-0800271c1b75,,,"Femur - Right, 2 views (X-ray)","femur - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3c60a12-3f10-11e4-adec-0800271c1b75,,,"Forearm - Left, 2 views (X-ray)","forearm - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3c787c6-3f10-11e4-adec-0800271c1b75,,,"Humerus - Left, 2 views (X-ray)","humerus - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3c92a6d-3f10-11e4-adec-0800271c1b75,,,"Lumbar spine, 2 or 3 views (X-ray)","lumbar spine, 2 or 3 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3cad75e-3f10-11e4-adec-0800271c1b75,,,"Forearm - Right, 2 views (X-ray)","forearm - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3cce850-3f10-11e4-adec-0800271c1b75,,,"Clavicle - Left, 2 views (X-ray)","clavicle - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3ce7ee1-3f10-11e4-adec-0800271c1b75,,,"Humerus - Right, 2 views (X-ray)","humerus - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3d0072d-3f10-11e4-adec-0800271c1b75,,,"Shoulder - Left, 2 views (X-ray)","shoulder - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3d18b79-3f10-11e4-adec-0800271c1b75,,,"Shoulder - Right, 2 views (X-ray)","shoulder - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3d30eb1-3f10-11e4-adec-0800271c1b75,,,"Lower leg - Left, 2 views (X-ray)","lower leg - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3d4e78f-3f10-11e4-adec-0800271c1b75,,,"Calcaneus - Left, 2 views (X-ray)","calcaneus - left, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3d6800c-3f10-11e4-adec-0800271c1b75,,,"Thoracic spine, 2 views (X-ray)","thoracic spine, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3d7c845-3f10-11e4-adec-0800271c1b75,,,"Clavicle - Right, 2 views (X-ray)","clavicle - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3d97136-3f10-11e4-adec-0800271c1b75,,,"Lower leg - Right, 2 views (X-ray)","lower leg - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
c3db4514-3f10-11e4-adec-0800271c1b75,,,"Calcaneus - Right, 2 views (X-ray)","calcaneus - right, 2 views (x-ray)",,Radiology,Text,,,,,,,,,,,
