Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
001b7fe9-6ed1-4d5b-9a1f-f66678a1edc4,TRUE,,,,,
013b90a8-243a-426c-88fe-985cb50e27ee,TRUE,,,,,
020c1d70-b578-4da1-a640-cced0ad7d7a2,TRUE,,,,,
02c41e3f-dab9-4a36-a15c-dfce329f33b2,TRUE,,,,,
03966798-5c40-4a6e-ac89-178371653df7,TRUE,,,,,
04a13f73-af84-42a4-8e28-6f360c0ffcbd,TRUE,,,,,
04fb9ae7-6517-49a1-add4-1ea819268a2a,TRUE,,,,,
05d01c1b-7f1c-45a7-808d-3267b906230f,TRUE,,,,,
05fac755-e963-428f-812b-8e810659e17f,TRUE,,,,,
060b86ec-e8a6-4457-8a00-70c4b82566a2,TRUE,,,,,
07aa181e-ed75-40e3-9574-31fe47cfc34b,TRUE,,,,,
07b787ea-fbea-41a3-ad0c-bc81ee3428de,TRUE,,,,,
08a5632f-fc23-437e-87a7-4d640bcabc56,TRUE,,,,,
08c0df98-09b5-4199-97a9-1a162160a7d2,TRUE,,,,,
091240a8-befd-4f9e-9078-00a24f2e14d7,TRUE,,,,,
0943b471-573b-4e51-ada7-f56e709bcf04,TRUE,,,,,
09ae2261-362f-43ce-afb7-9aa45c78185c,TRUE,,,,,
09f0b1c3-2c44-4a60-8027-3ebfbb377e47,TRUE,,,,,
0a595a8c-cad6-4231-8cfe-960a20c1918b,TRUE,,,,,
0b21536f-c058-442b-8da0-9bd4cdbfc678,TRUE,,,,,
0bb28f24-1267-43d0-8fb8-9023a3c44e44,TRUE,,,,,
0c35f7d0-5ad8-4197-b5a7-ca347ce77ad3,TRUE,,,,,
0eb3e926-8ca0-415d-8d1d-90028d5a4e1d,TRUE,,,,,
0ed2d479-55fc-485e-a5a3-466d07172f60,TRUE,,,,,
102ed6e5-f7ef-465a-867a-491ea11d2577,TRUE,,,,,
117000ac-0cd7-46d9-9186-53a1dc097e9d,TRUE,,,,,
117a40e6-8195-486c-aded-b0a27911222c,TRUE,,,,,
12830e9e-a3e3-4d4e-9dd9-216dafbcdc59,TRUE,,,,,
134104f9-2a87-4c71-b011-696380986325,TRUE,,,,,
134b2432-8a2e-462c-9637-832fdd108d53,TRUE,,,,,
1389d95c-9d5c-49ea-99e0-d5b821053473,TRUE,,,,,
143f3595-bd3e-4d04-888a-ecd8d945ea6d,TRUE,,,,,
158c0267-1410-4e5d-9e83-834915eeedb3,TRUE,,,,,
161bf86b-9cc8-4d76-9dc9-3d097652895d,TRUE,,,,,
19e70445-1a5b-4115-83b9-a0be6219f62c,TRUE,,,,,
1a3387be-dd84-4ea0-80e5-f779e26dc97a,TRUE,,,,,
1a90009c-c301-4e7c-8b84-ecf657be3612,TRUE,,,,,
1b0d3eb4-9527-40eb-865d-73aac2e60103,TRUE,,,,,
1b6a104b-e7ff-4a71-b50c-c27df8be8fb9,TRUE,,,,,
1bea55dc-05b1-455a-b7cf-bb9750e41717,TRUE,,,,,
1bf01f6c-a49f-4791-8382-09fb5aa804c6,TRUE,,,,,
1c2c48b1-c11f-47db-b4d2-8ece997b0594,TRUE,,,,,
1d3c0d4d-6ce9-459b-a484-044d5403203d,TRUE,,,,,
1e653650-9d1b-4f95-864c-2cea6b52b3d6,TRUE,,,,,
1f333142-3c15-43ab-b529-fc9c2861a81f,TRUE,,,,,
1fcb7001-65e9-48a8-aeeb-7712336077ee,TRUE,,,,,
20705748-56fa-46a1-8aa7-436755adf5f2,TRUE,,,,,
