Uuid,Void/Retire,Name,Description,Format,Foreign uuid,Searchable,Edit privilege,_order:1000
82325788-3f10-11e4-adec-0800271c1b75,TRUE,givenNameLocal,,,,,,
8233a58a-3f10-11e4-adec-0800271c1b75,TRUE,familyNameLocal,,,,,,
8234e7b0-3f10-11e4-adec-0800271c1b75,TRUE,middleNameLocal,,,,,,
35e98d04-3981-4257-a593-fadd81bfc109,TRUE,cluster,,,,,,
3dfdc176-17fd-42b1-b5be-c7e25b78b602,TRUE,landHolding,,,,,,
6f32179b-c6b9-465e-a278-c15da2637630,TRUE,RationCard,,,,,,
9234695b-0f68-4970-aeb7-3b32d4a2b346,TRUE,isUrban,,,,,,
a10fe690-1c44-4ba8-a244-8fe51f9e61f7,TRUE,familyIncome,,,,,,
c1f4239f-3f10-11e4-adec-0800271c1b75,TRUE,caste,,,,,,
c1f455e7-3f10-11e4-adec-0800271c1b75,TRUE,class,,,,,,
c1f84df3-3f10-11e4-adec-0800271c1b75,TRUE,primaryRelative,,,,,,
c1f8880d-3f10-11e4-adec-0800271c1b75,TRUE,secondaryIdentifier,,,,,,
d1314f0f-c2d9-4223-88d9-ec4d2827c9da,TRUE,distanceFromCenter,,,,,,
fb3c00b1-81c8-40fe-89e8-6b3344688a13,TRUE,debt,,,,,,
0c45762c-4bb8-49d5-87d8-0aa6c2fcd490,,legacyID,Legacy ID,java.lang.String,,TRUE,,
04ea731b-81b3-42ba-b231-5d29d6ed55fd,,secondaryContactName,Secondary Contact Name,java.lang.String,,,,
c1f825c9-3f10-11e4-adec-0800271c1b75,,secondaryContact,Secondary Phone Number,java.lang.String,,TRUE,,
c1f7fd17-3f10-11e4-adec-0800271c1b75,,primaryContact,Primary Phone Number,java.lang.String,,TRUE,,
c1f7d1f1-3f10-11e4-adec-0800271c1b75,,occupation,Occupation,java.lang.String,,,,
c1f4a004-3f10-11e4-adec-0800271c1b75,,education,Education Details,org.openmrs.Concept,c2084e7b-3f10-11e4-adec-0800271c1b75,,,
